id	uid	created_at	Core Status
52884550	txn_f5d236c6ba30866007b65dc433b304fc98cdba6ae29be92e65ce26997f2ca3ff	2021-07-06 00:40:48	SUCCESS
52884560	txn_c968c0f0ca21c45adcd28a6636e2d634926088aac5954421cbadd4de533015b7	2021-07-06 00:41:04	SUCCESS
52884577	txn_4e60a93666a19ce70dcc2a2a5d3fc7f77ab77d24c82b8c8ae9acc434291f06d0	2021-07-06 00:42:10	SUCCESS
52884587	txn_5a91aa3208fe83a52af1a0b05d0d5a2f6742b3b82ed6ac433533586ea0f2bd85	2021-07-06 00:42:48	SUCCESS
52884591	txn_3ada6f2fd519b7ab391f2f813ff4a8b31babe7f31b32392badd9a2ae2aa96cc7	2021-07-06 00:42:59	SUCCESS
52884601	txn_0ae0fd61ed6200ab3e28695230583e71d35f0d4452ccfab42db7fa261da66887	2021-07-06 00:43:28	FAILURE
52884604	txn_65b2443cae7bda6c4752ccd3cb1ddbb46e8eb6edd24dd8240f7a443d6773eb7d	2021-07-06 00:43:34	FAILURE
52884608	txn_be48fea90e5b75c885ad63bfb2300910047cd25a5f490445153b58fff3b4e71f	2021-07-06 00:43:48	SUCCESS
52884616	txn_90d373b38c5986976732ee704bd2405e33204707fc8597a06fc90b6d9e7e7b79	2021-07-06 00:44:16	SUCCESS
52884617	txn_0ac828657c4837d5f85ce5b23b37335a28410ceb073954931dedc10da6514f4d	2021-07-06 00:44:17	SUCCESS
52884626	txn_d9bf32c8e9f4ecf0c970205a7faf2268a49a26e8702a97dcfdfe6225c6a04f55	2021-07-06 00:44:56	SUCCESS
52884639	txn_f3f0ca318736ef1c11dc9714294ca258858ac4310a2504a63b12b34a4c7309c3	2021-07-06 00:45:45	SUCCESS
52884687	txn_6fa0666313fa862549d687dc925f09cb086269b7809e6e3adbf46770da9133cd	2021-07-06 00:48:14	SUCCESS
52884695	txn_033bb39eb66ce3dc9f9ec7a174f5ad82e66b0f9d6da144ac53f9819341bd37ee	2021-07-06 00:49:08	SUCCESS
52884702	txn_7528a2673430f83a9275da92d660bc13ec8dbfc2c018b52d42a1f88e6cd04e4c	2021-07-06 00:49:35	FAILURE
52884706	txn_b1aff208e3ff723802ca9f2ef1c54ef16e82aac2209cb3614ea4bc24aee009c3	2021-07-06 00:49:44	FAILURE
52884718	txn_efce60185f947dd85db1ba026c00ca49e933afaa1e18ece38c6eca3bf9103077	2021-07-06 00:50:29	SUCCESS
52884739	txn_25ebfd8f4cae57d5c8ebeb500945072babf9f76dadc3dc7c92ef6d8c32d211a7	2021-07-06 00:51:40	FAILURE
52884744	txn_7e103ce81c236a14082a9ccf7fa09435e28fe738a483d4ed24ac62b2a6e5f080	2021-07-06 00:51:59	SUCCESS
52884758	txn_aaa08a5a25fe280a7631afe3ed6324e2743296574e84508faca9918f87566b45	2021-07-06 00:53:14	SUCCESS
52884769	txn_e49a0c8790c20410e8b2702671f01ea87e4529970f5ac4f161dae2775c1968b4	2021-07-06 00:53:52	FAILURE
